,Origin ISO,Destination ISO,Religious similarity
210,ABW,TUR,0.004163599999999999
211,ABW,TUV,0.8501977
212,ABW,TWN,0.04199
213,ABW,TZA,0.5652615
214,ABW,UGA,0.9906577999999999
215,ABW,UKR,0.711221
216,ABW,URY,1.0444638000000002
217,ABW,USA,0.8305337999999999
218,ABW,UZB,0.0421545
219,ABW,VCT,1.2117
220,ABW,VEN,1.3911645
221,ABW,VGB,0.775685
222,ABW,VIR,1.015927
223,ABW,VNM,0.22847000000000003
224,ABW,VUT,0.8182005
225,ABW,WLF,1.55727
226,ABW,WSM,0.9626535999999999
227,ABW,YEM,0.0
228,ABW,ZAF,0.7404196
229,ABW,ZMB,0.9985311999999998
230,ABW,ZWE,0.8318551999999999
231,AFG,ABW,0.0003658
232,AFG,AFG,1.6673549999999997
233,AFG,AGO,0.010769260000000001
234,AFG,AIA,0.0005094
235,AFG,ALB,1.11329394
236,AFG,AND,0.00944385
237,AFG,ARE,1.14548095
238,AFG,ARG,0.015633690000000002
239,AFG,ARM,0.00065486
240,AFG,ASM,0.00029489999999999996
241,AFG,ATG,0.00048409999999999995
242,AFG,AUS,0.023158130000000002
243,AFG,AUT,0.0480964
244,AFG,AZE,1.2132909100000002
245,AFG,BDI,0.04460311
246,AFG,BEL,0.08732443999999999
247,AFG,BEN,0.47406328999999997
248,AFG,BES,0.00029719999999999996
249,AFG,BFA,1.03428266
250,AFG,BGD,1.60946417
251,AFG,BGR,0.22758637
252,AFG,BHR,1.24270624
253,AFG,BHS,0.0004833199999999999
254,AFG,BIH,0.8082366000000001
255,AFG,BLR,0.00299728
256,AFG,BLZ,0.0024899599999999994
257,AFG,BMU,0.0006578
258,AFG,BOL,0.0004912
259,AFG,BRA,0.00069111
260,AFG,BRB,0.00868416
261,AFG,BRN,0.8139266199999999
262,AFG,BTN,0.010135650000000003
263,AFG,BWA,0.048653110000000006
264,AFG,CAF,0.26409345999999995
265,AFG,CAN,0.03422639
266,AFG,CHE,0.04171708
267,AFG,CHL,0.0007163399999999999
268,AFG,CHN,0.025734190000000004
269,AFG,CIV,0.66823628
270,AFG,CMR,0.38449675
271,AFG,COD,0.02370151
272,AFG,COG,0.03477797
273,AFG,COK,0.0006617
274,AFG,COL,0.0009527899999999999
275,AFG,COM,1.1626061099999998
276,AFG,CPV,0.05650733000000001
277,AFG,CRI,0.0004851599999999999
278,AFG,CUB,0.0011719500000000002
279,AFG,CUW,0.0002983
280,AFG,CYM,0.0006949999999999999
281,AFG,CYP,0.36425571
282,AFG,CZE,0.00168258
283,AFG,DEU,0.02411282
284,AFG,DJI,1.7507337200000002
285,AFG,DMA,0.000426
286,AFG,DNK,0.07181989999999998
287,AFG,DOM,0.000531
288,AFG,DZA,1.7776464
289,AFG,ECU,0.0005453799999999998
290,AFG,EGY,1.54855644
291,AFG,ERI,0.72059666
292,AFG,ESH,0.792003
293,AFG,ESP,0.0310034
294,AFG,EST,0.00418205
295,AFG,ETH,0.6154598499999999
